date,UNRATE,UNRATE_lag1,UNRATE_lag2,UNRATE_lag3,ICSA_lag1,ICSA_lag2,ICSA_lag3,INDPRO_lag1,INDPRO_lag2,INDPRO_lag3,PAYEMS_lag1,PAYEMS_lag2,PAYEMS_lag3,file for unemployment_lag1,file for unemployment_lag2,file for unemployment_lag3,unemployment office_lag1,unemployment office_lag2,unemployment office_lag3,jobs near me_lag1,jobs near me_lag2,jobs near me_lag3,UNRATE_rollmean3,UNRATE_rollstd3,UNRATE_rollmean6,UNRATE_rollstd6,ICSA_rollmean3,ICSA_rollstd3,ICSA_rollmean6,ICSA_rollstd6,INDPRO_rollmean3,INDPRO_rollstd3,INDPRO_rollmean6,INDPRO_rollstd6,PAYEMS_rollmean3,PAYEMS_rollstd3,PAYEMS_rollmean6,PAYEMS_rollstd6,file for unemployment_rollmean3,file for unemployment_rollstd3,file for unemployment_rollmean6,file for unemployment_rollstd6,unemployment office_rollmean3,unemployment office_rollstd3,unemployment office_rollmean6,unemployment office_rollstd6,jobs near me_rollmean3,jobs near me_rollstd3,jobs near me_rollmean6,jobs near me_rollstd6,ICSA_mom_pct,INDPRO_mom_pct,PAYEMS_mom_pct,file for unemployment_mom_pct,unemployment office_mom_pct,jobs near me_mom_pct,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
2018-10-31,3.8,3.7,3.8,3.8,205200.0,208500.0,209500.0,104.1004,104.0327,103.3646,149358.0,149277.0,149020.0,3.0,3.0,3.0,11.0,14.0,17.0,62.0,64.0,65.0,3.766666666666666,0.05773502691869119,3.8499999999999996,0.12247448713928293,207733.33333333334,2250.185177562663,214758.33333333334,7839.15918110717,103.83256666666666,0.4066822141844021,103.40516666666667,0.6216871581975513,149218.33333333334,176.47190522375283,148962.83333333334,346.86274903417547,3.0,0.0,3.0,0.0,14.0,2.9999999999999605,13.5,2.073644135332724,63.666666666666664,1.527525231651955,59.0,7.9498427657407325,-0.015827338129496438,0.0006507569254665668,0.0005426154062582178,0.0,-0.2142857142857143,-0.03125,False,False,False,False,False,False,False,False,True,False,False
2018-11-30,3.8,3.8,3.7,3.8,213000.0,205200.0,208500.0,103.9856,104.1004,104.0327,149527.0,149358.0,149277.0,3.0,3.0,3.0,13.0,11.0,14.0,63.0,62.0,64.0,3.766666666666666,0.05773502691869119,3.8166666666666664,0.09831920802517584,208900.0,3915.354390089024,213341.66666666666,7111.428595348277,104.03956666666666,0.057707220812626796,103.51395000000001,0.6622917959639073,149387.33333333334,127.55521680158259,149147.33333333334,290.15283329231187,3.0,0.0,3.0,0.0,12.666666666666666,1.527525231651866,13.5,2.073644135332724,63.0,1.0000000000000115,62.0,4.049691346263351,0.03801169590643272,-0.0011027815455079137,0.00113150952744423,0.0,0.18181818181818188,0.016129032258064502,False,False,False,False,False,False,False,False,False,True,False
2018-12-31,3.9,3.8,3.8,3.7,225250.0,213000.0,205200.0,104.0681,103.9856,104.1004,149617.0,149527.0,149358.0,3.0,3.0,3.0,15.0,13.0,11.0,59.0,63.0,62.0,3.766666666666666,0.05773502691869119,3.816666666666667,0.09831920802517584,214483.33333333334,10106.96954251484,214008.33333333334,8117.41440772473,104.05136666666665,0.05920104166242743,103.79156666666665,0.4005658131540989,149500.66666666666,131.49271209195885,149293.16666666666,264.43556241089453,3.0,0.0,3.0,0.0,13.0,1.9999999999999387,14.0,1.9999999999999547,61.333333333333336,2.0816659994661393,62.833333333333336,2.1369760566433444,0.057511737089201986,0.000793379083257717,0.0006018979849793382,0.0,0.15384615384615374,-0.06349206349206349,False,False,False,False,False,False,False,False,False,False,True
2019-01-31,4.0,3.9,3.8,3.8,224600.0,225250.0,213000.0,104.0936,104.0681,103.9856,149809.0,149617.0,149527.0,3.0,3.0,3.0,14.0,15.0,13.0,56.0,59.0,63.0,3.8333333333333326,0.05773502691869241,3.7999999999999994,0.0632455532036167,220950.0,6892.5684617556935,214341.66666666666,8569.271653223332,104.0491,0.056451306455946135,103.94083333333333,0.2854765746393617,149651.0,144.04166064013037,149434.66666666666,277.33782047816425,3.0,0.0,3.0,0.0,14.0,0.9999999999998805,14.0,1.9999999999999547,59.333333333333336,3.511884584284251,61.5,3.3911649915626745,-0.002885682574916726,0.0002450318589461986,0.0012832766330028722,0.0,-0.06666666666666665,-0.05084745762711862,False,False,False,False,False,False,False,False,False,False,False
2019-02-28,3.8,4.0,3.9,3.8,222750.0,224600.0,225250.0,103.4021,104.0936,104.0681,150060.0,149809.0,149617.0,4.0,3.0,3.0,18.0,14.0,15.0,71.0,56.0,59.0,3.9,0.09999999999984485,3.8333333333333335,0.10327955589901333,224200.0,1297.1121771031376,216550.0,8776.787567217845,103.8546,0.3920838558275529,103.94708333333334,0.27034746099754875,149828.66666666666,222.15385059301022,149608.0,291.00103092760867,3.3333333333333335,0.5773502691896223,3.1666666666666665,0.4082482904638651,15.666666666666666,2.0816659994660784,14.166666666666666,2.316606713852503,62.0,7.937253933193775,62.5,5.089204259999816,-0.008236865538735483,-0.006643059707801324,0.001675466761009048,0.33333333333333326,0.2857142857142858,0.2678571428571428,True,False,False,False,False,False,False,False,False,False,False
2019-03-31,3.8,3.8,4.0,3.9,222500.0,222750.0,224600.0,102.8371,103.4021,104.0936,150067.0,150060.0,149809.0,4.0,4.0,3.0,15.0,18.0,14.0,65.0,71.0,56.0,3.9,0.09999999999984485,3.8333333333333335,0.10327955589901333,223283.33333333334,1147.0977871666305,218883.33333333334,8038.573671164299,103.44426666666668,0.6293104030079083,103.74781666666667,0.5199862129593331,149978.66666666666,146.9773225137255,149739.66666666666,290.00390802128453,3.6666666666666665,0.5773502691896233,3.3333333333333335,0.516397779494324,15.666666666666666,2.0816659994660784,14.333333333333334,2.3380903888999884,64.0,7.5498344352707525,62.666666666666664,5.163977794943248,-0.001122334455667784,-0.0054641056612969585,4.664800746367881e-05,0.0,-0.16666666666666663,-0.08450704225352113,False,True,False,False,False,False,False,False,False,False,False
2019-04-30,3.7,3.8,3.8,4.0,211800.0,222500.0,222750.0,102.8757,102.8371,103.4021,150295.0,150067.0,150060.0,3.0,4.0,4.0,13.0,15.0,18.0,64.0,65.0,71.0,3.866666666666666,0.11547005383779047,3.85,0.08366600265358914,219016.66666666666,6251.0665756591125,219983.33333333334,5979.520605093324,103.0383,0.3156506296535724,103.5437,0.5896132800413308,150140.66666666666,133.70240586207132,149895.83333333334,295.6040707900433,3.6666666666666665,0.5773502691896233,3.3333333333333335,0.516397779494324,15.333333333333334,2.5166114784235374,14.666666666666666,1.861898672502484,66.66666666666667,3.7859388972001895,63.0,5.1768716422179395,-0.048089887640449414,0.00037535091907470175,0.0015193213697881625,-0.25,-0.1333333333333333,-0.01538461538461533,False,False,True,False,False,False,False,False,False,False,False
2019-05-31,3.6,3.7,3.8,3.8,209750.0,211800.0,222500.0,102.274,102.8757,102.8371,150591.0,150295.0,150067.0,3.0,3.0,4.0,14.0,13.0,15.0,69.0,64.0,65.0,3.7666666666666657,0.05773502691869119,3.8333333333333335,0.10327955589901333,214683.33333333334,6846.592826605256,219441.66666666666,6825.937054114678,102.66226666666667,0.3368022317830817,103.25843333333334,0.7303176231392212,150317.66666666666,262.7343398440878,150073.16666666666,345.0926928633446,3.3333333333333335,0.5773502691896223,3.3333333333333335,0.516397779494324,14.0,0.9999999999998797,14.833333333333334,1.7224014243684658,66.0,2.645751311064603,64.0,5.727128425310565,-0.009678942398489099,-0.0058488058890485695,0.0019694600618782587,0.0,0.07692307692307687,0.078125,False,False,False,True,False,False,False,False,False,False,False
2019-06-30,3.6,3.6,3.7,3.8,218500.0,209750.0,211800.0,102.392,102.274,102.8757,150618.0,150591.0,150295.0,3.0,3.0,3.0,13.0,14.0,13.0,84.0,69.0,64.0,3.6999999999999997,0.09999999999984267,3.7999999999999994,0.14142135623742091,213350.0,4576.297630179803,218316.66666666666,6205.212862322779,102.51389999999999,0.3188344868434754,102.97908333333334,0.6773104499914928,150501.33333333334,179.19914434312903,150240.0,321.62089484521823,3.0,0.0,3.3333333333333335,0.516397779494324,13.333333333333334,0.5773502691894135,14.5,1.8708286933869278,72.33333333333333,10.40832999733067,68.16666666666667,9.325592027676684,0.04171632896305133,0.001153763419832865,0.00017929358328183653,0.0,-0.0714285714285714,0.21739130434782616,False,False,False,False,True,False,False,False,False,False,False
2019-07-31,3.7,3.6,3.6,3.7,225200.0,218500.0,209750.0,102.4375,102.392,102.274,150838.0,150618.0,150591.0,3.0,3.0,3.0,14.0,13.0,14.0,94.0,84.0,69.0,3.633333333333333,0.057735026918689106,3.75,0.15165750888113863,217816.66666666666,7747.634047457499,218416.66666666666,6330.297518026781,102.36783333333334,0.08438651156486211,102.70306666666666,0.42137895850129353,150682.33333333334,135.48554658452304,150411.5,320.17791929031404,3.0,0.0,3.3333333333333335,0.516397779494324,13.666666666666666,0.5773502691894157,14.5,1.8708286933869278,82.33333333333333,12.583057392117924,74.5,11.945710527214368,0.03066361556064079,0.0004443706539574155,0.0014606487936368318,0.0,0.07692307692307687,0.11904761904761907,False,False,False,False,False,True,False,False,False,False,False
